impl,n,q,total_ns,total_s,ns_per_search,cache_refs,cache_misses,misses_per_search,miss_rate,bytes,l1_refs,l1_misses,l1_rate,l2_refs,l2_misses,l2_rate,l3_refs,l3_misses,l3_rate,branches,branch_misses,branch_rate,branch_miss_per_op,branches_per_op,,cache_miss_per_op
BST_VEB,500000,10000000,1027260000,1.02726,102.726,196757000,548921,0.0548921,0.00278984,1902964,248655000,77844600,0.313062,0,0,0,31728700,55432.4,0.00174708,357548000,53292800,0.149051,5.32928,35.7548,,0.0548921
BST_EYT,500000,10000000,926750000,0.92675,92.675,95497700,653105,0.0653105,0.00683896,1902964,139719000,54493200,0.390021,0,0,0,28323700,69376,0.0024494,306173000,52261000,0.170691,5.2261,30.6173,,0.0653105
BST_EYT_PREF,500000,10000000,1141440000,1.14144,114.144,123011000,686313,0.0686313,0.00557928,1902964,407523000,68957100,0.169211,0,0,0,961660,56893.8,0.0591621,494240000,53392100,0.108029,5.33921,49.424,,0.0686313
BST_EYT_PREF_TWO,500000,10000000,1406160000,1.40616,140.616,117606000,547847,0.0547847,0.00465832,1902964,745313000,46277400,0.0620913,0,0,0,306454,77627.2,0.253308,776266000,57001100,0.0734299,5.70011,77.6266,,0.0547847
BST_EYT_PREF_THREE,500000,10000000,1047430000,1.04743,104.743,130752000,537039,0.0537039,0.0041073,1902964,1385960000,38776800,0.0279783,0,0,0,155009,70104.2,0.452258,1533250000,991810,0.000646867,0.099181,153.325,,0.0537039
BST_EYT_PREF_FOUR,500000,10000000,5209970000,5.20997,520.997,366638000,741222,0.0741222,0.00202168,1902964,3931320000,39110100,0.00994834,0,0,0,392452,14828,0.0377829,5297140000,53157600,0.0100352,5.31576,529.714,,0.0741222
BST_EYT_PREF_PROB,500000,10000000,1472750000,1.47275,147.275,84552200,588608,0.0588608,0.00696147,1902964,282534000,50871500,0.180054,0,0,0,25983700,52726.2,0.00202921,489526000,50040900,0.102223,5.00409,48.9526,,0.0588608
BST_VEB,1000000,10000000,1371300000,1.3713,137.13,262074000,629666,0.0629666,0.00240263,3805292,259234000,93520600,0.360758,0,0,0,45789300,78896.2,0.00172303,374596000,55762300,0.14886,5.57623,37.4596,,0.0629666
BST_EYT,1000000,10000000,1151880000,1.15188,115.188,122966000,1770270,0.177027,0.0143965,3805292,144759000,64544900,0.445877,0,0,0,36771200,370859,0.0100856,321408000,54775900,0.170425,5.47759,32.1408,,0.177027
BST_EYT_PREF,1000000,10000000,1448960000,1.44896,144.896,157636000,869690,0.086969,0.00551707,3805292,427894000,80022300,0.187014,0,0,0,1569700,58079,0.037,519043000,55801200,0.107508,5.58012,51.9043,,0.086969
BST_EYT_PREF_TWO,1000000,10000000,1794460000,1.79446,179.446,148806000,629930,0.062993,0.00423322,3805292,784591000,55439800,0.0706607,0,0,0,364382,77903.4,0.213796,817322000,59550500,0.0728606,5.95505,81.7322,,0.062993
BST_EYT_PREF_THREE,1000000,10000000,1338990000,1.33899,133.899,147298000,583465,0.0583465,0.00396111,3805292,1465560000,44770700,0.0305486,0,0,0,175581,68390.4,0.389509,1613870000,999335,0.000619217,0.0999335,161.387,,0.0583465
BST_EYT_PREF_FOUR,1000000,10000000,6222810000,6.22281,622.281,459305000,918718,0.0918718,0.00200024,3805292,4161930000,45180900,0.0108558,0,0,0,438675,15457.8,0.0352375,5577070000,55932500,0.010029,5.59325,557.707,,0.0918718
BST_EYT_PREF_PROB,1000000,10000000,1534740000,1.53474,153.474,111660000,1420590,0.142059,0.0127225,3805292,287371000,60177500,0.209407,0,0,0,34607700,280148,0.00809497,504912000,52527900,0.104034,5.25279,50.4912,,0.142059
BST_VEB,1500000,10000000,1438860000,1.43886,143.886,291397000,1187330,0.118733,0.00407462,5708828,265259000,102644000,0.386957,0,0,0,51405200,118659,0.00230831,385689000,57538200,0.149183,5.75382,38.5689,,0.118733
BST_EYT,1500000,10000000,1212770000,1.21277,121.277,138400000,2799930,0.279993,0.0202308,5708828,148004000,70888700,0.478964,0,0,0,42158900,639913,0.0151786,330816000,55888800,0.168942,5.58888,33.0816,,0.279993
BST_EYT_PREF,1500000,10000000,1495840000,1.49584,149.584,178248000,1267260,0.126726,0.00710955,5708828,440554000,86720200,0.196844,0,0,0,2396190,59013.6,0.0246281,534926000,56968900,0.106499,5.69689,53.4926,,0.126726
BST_EYT_PREF_TWO,1500000,10000000,1810920000,1.81092,181.092,170157000,742970,0.074297,0.00436638,5708828,810659000,60979400,0.075222,0,0,0,417622,77294,0.185081,841925000,60759500,0.0721673,6.07595,84.1925,,0.074297
BST_EYT_PREF_THREE,1500000,10000000,1447710000,1.44771,144.771,171433000,800673,0.0800673,0.00467047,5708828,1515710000,48240200,0.0318267,0,0,0,249880,68401.6,0.273737,1665170000,3033980,0.00182202,0.303398,166.517,,0.0800673
BST_EYT_PREF_FOUR,1500000,10000000,6422720000,6.42272,642.272,524200000,2380510,0.238051,0.00454122,5708828,4307010000,48596200,0.0112831,0,0,0,531850,19078.4,0.0358718,5755300000,56969300,0.00989859,5.69693,575.53,,0.238051
BST_EYT_PREF_PROB,1500000,10000000,1581970000,1.58197,158.197,128665000,2283900,0.22839,0.0177507,5708828,290672000,66544000,0.228932,0,0,0,40284200,529428,0.0131423,514254000,53915100,0.104841,5.39151,51.4254,,0.22839
BST_VEB,2000000,10000000,1596170000,1.59617,159.617,311694000,17915700,1.79157,0.0574785,7614320,269107000,107678000,0.40013,0,0,0,55958000,1949000,0.0348297,392593000,57868000,0.147399,5.7868,39.2593,,1.79157
BST_EYT,2000000,10000000,1310680000,1.31068,131.068,147009000,6323620,0.632362,0.0430151,7614320,149917000,74096400,0.494251,0,0,0,44352300,1624350,0.0366238,336359000,55823100,0.165963,5.58231,33.6359,,0.632362
BST_EYT_PREF,2000000,10000000,1623580000,1.62358,162.358,194319000,6782860,0.678286,0.0349059,7614320,447866000,93069000,0.207806,0,0,0,3718760,75348.8,0.0202618,544311000,58022700,0.106598,5.80227,54.4311,,0.678286
BST_EYT_PREF_TWO,2000000,10000000,1997920000,1.99792,199.792,191824000,6372690,0.637269,0.0332215,7614320,824732000,68475000,0.0830271,0,0,0,1868720,81027.4,0.0433598,857430000,61654000,0.0719056,6.1654,85.743,,0.637269
BST_EYT_PREF_THREE,2000000,10000000,1570200000,1.5702,157.02,184321000,6927950,0.692795,0.0375864,7614320,1544590000,54940800,0.0355698,0,0,0,1623350,76011.4,0.0468237,1695260000,1240860,0.00073196,0.124086,169.526,,0.692795
BST_EYT_PREF_FOUR,2000000,10000000,6622310000,6.62231,662.231,563384000,13341300,1.33413,0.0236806,7614320,4391590000,53346000,0.0121473,0,0,0,2292450,25147.4,0.0109697,5858420000,58940200,0.0100608,5.89402,585.842,,1.33413
BST_EYT_PREF_PROB,2000000,10000000,1799320000,1.79932,179.932,140600000,6328550,0.632855,0.0450111,7614320,292513000,71143800,0.243216,0,0,0,43447600,1614970,0.0371704,520073000,55670600,0.107044,5.56706,52.0073,,0.632855
BST_VEB,2500000,10000000,1717770000,1.71777,171.777,324408000,40578900,4.05789,0.125086,9516684,272393000,112718000,0.413807,0,0,0,58434000,4408290,0.0754405,398635000,57656400,0.144635,5.76564,39.8635,,4.05789
BST_EYT,2500000,10000000,1512880000,1.51288,151.288,157054000,12167300,1.21673,0.0774719,9516684,151643000,78555900,0.518032,0,0,0,47220300,3172900,0.0671936,341684000,55362500,0.162029,5.53625,34.1684,,1.21673
BST_EYT_PREF,2500000,10000000,1770570000,1.77057,177.057,209766000,15528000,1.5528,0.0740254,9516684,454339000,98968900,0.217831,0,0,0,5030040,127443,0.0253364,553321000,58361000,0.105474,5.8361,55.3321,,1.5528
BST_EYT_PREF_TWO,2500000,10000000,2183210000,2.18321,218.321,211293000,15431400,1.54314,0.0730333,9516684,839245000,75469700,0.0899257,0,0,0,2947590,89870.4,0.0304895,870173000,61965600,0.0712107,6.19656,87.0173,,1.54314
BST_EYT_PREF_THREE,2500000,10000000,1773890000,1.77389,177.389,203715000,15847200,1.58472,0.0777908,9516684,1572540000,60873800,0.0387104,0,0,0,2622040,84421.2,0.0321968,1721670000,2093970,0.00121624,0.209397,172.167,,1.58472
BST_EYT_PREF_FOUR,2500000,10000000,6746840000,6.74684,674.684,581344000,26531200,2.65312,0.0456377,9516684,4469870000,57749200,0.0129196,0,0,0,3762690,35124.6,0.00933498,5953010000,59309600,0.00996297,5.93096,595.301,,2.65312
BST_EYT_PREF_PROB,2500000,10000000,1961110000,1.96111,196.111,152840000,13017500,1.30175,0.0851703,9516684,294401000,76579600,0.26012,0,0,0,46748400,3419020,0.0731368,525033000,55639300,0.105973,5.56393,52.5033,,1.30175
BST_VEB,3000000,10000000,1963650000,1.96365,196.365,332752000,70420400,7.04204,0.211631,11418864,275545000,114756000,0.416471,0,0,0,60135200,7788920,0.129524,403432000,57859800,0.143419,5.78598,40.3432,,7.04204
BST_EYT,3000000,10000000,1803650000,1.80365,180.365,166150000,19882200,1.98822,0.119664,11418864,153156000,82177400,0.536561,0,0,0,49286800,5105050,0.103579,346539000,54984100,0.158667,5.49841,34.6539,,1.98822
BST_EYT_PREF,3000000,10000000,1891140000,1.89114,189.114,221944000,26225300,2.62253,0.118162,11418864,460673000,103601000,0.224891,0,0,0,5787420,180131,0.0311245,560244000,58267500,0.104004,5.82675,56.0244,,2.62253
BST_EYT_PREF_TWO,3000000,10000000,2331760000,2.33176,233.176,226914000,25408200,2.54082,0.111973,11418864,851085000,81584800,0.0958598,0,0,0,3764790,99795,0.0265075,882005000,62041900,0.0703419,6.20419,88.2005,,2.54082
